07:55
08:00
08:50
08:55
09:45
09:50
09:55
10:00
10:45
10:50
11:40
12:20
12:25
13:15
13:20
14:10
14:15
14:55
15:00
15:40
09:50E-
09:55E-
14:00E
14:15t-
14:55t-
15:00t-
15:40t-
12:20T-
12:25T-
13:15T-
13:20T-
14:10T-
14:15T-
14:55T-
15:00T-
15:40T-
08:50I-
08:55I-
09:45I-
09:50I-
09:55I-
10:00I-
12:25P-
13:15P-
13:20P-
14:10P-
14:15P-
14:55P-
15:00P-
15:40P-
10:00e-
14:00S
10:45Y-
10:50Y-
11:40Y-
12:20Y-
12:25Y-
13:15Y-
13:20Y-
14:10Y-
14:15Y-
14:55Y-
15:00Y-
15:40Y-
08:55L
09:00L
09:40L
09:45L
10:25L
10:30L
10:35L
11:15L
11:20L
12:00L
12:40L
12:45L
13:25L
13:30L
14:10L
14:15L
14:55L
15:00L
15:40L
07:55B
08:00B
12:40p-
12:45p-
13:25p-
13:30p-
14:10p-
14:15p-
14:55p-
15:00p-
15:40p-
12:20m
12:45m-
09:15q
09:50q
10:25q
10:30q
11:05q
11:40q
12:10q
12:45q
13:15q
14:00q
